;;;;;;;;;;;;;;x,,,
siege_country_desc;Click this to siege all target countries to the occupier you picked earlier;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_china_title; Roster / Genocide China;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_china_desc; Kills off a selected portion of the Chinese heartland population incase a player is rostered on it. Improves late game performance;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_india_title; Population controls on the Indian subcontinent;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_india_desc; Allows on-the-fly adjustment to Indian population counts. Don't abuse :D;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_india_done_title; Indian Population Contol Lock-Out;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
pop_decision_india_done_desc; Press this if you are done adjusting India!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
meme_decision_alaska_title;§RMEME DECISION §!Enable Alaskan Strait;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
meme_decision_alaska_desc;Meme Decisions are paths/decisions that can be overpowered or cheesy. I'm leaving it up the GM if they want to enable these paths/decisions depending on their discretion or game health.\n\nThis allows Japan to build a strait to Alaska if they take all of the Californian coast, thus giving them connected to the New World.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
meme_decision_ngf_scandi_title;§RMEME DECISION §!Let Scandi/BE get Elbian.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
meme_decision_ngf_scandi_desc;Meme Decisions are paths/decisions that can be overpowered or cheesy. I'm leaving it up the GM if they want to enable these paths/decisions depending on their discretion or game health.\n\nThis readds Baltic Empire / Scandinavia getting N. German accepted if they do the Expansion into N. Germany decisions, as per base NLR.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
meme_decision_japan_title;§RMEME DECISION §!Deroster and Decolonize Japan;x
meme_decision_japan_desc;Meme Decisions are paths/decisions that can be overpowered or cheesy. I'm leaving it up the GM if they want to enable these paths/decisions depending on their discretion or game health.\n\nThis decision deletes Japan off the map, add a lore event to explain why, and makes Japan 20 LR so it can be recolonized later in the game. This decision will disable itself after 1837 to prevent accidentally triggering this late game.;x
meme_decision_exile_spain_title;§RMEME DECISION §!Deroster Exile Spain;x
meme_decision_exile_spain_desc;I'm leaving it up the GM if they want to enable these player slots depending on their discretion or game health.\n\nThis decision annexes the Spanish Exile Nation into Napoleonic Spain, giving away all non West-Indies Colonies. This is intended for Europe focused Rosters;x
meme_decision_exile_netherlands_title;§RMEME DECISION §!Deroster Exile Netherlands;x
meme_decision_exile_netherlands_desc;I'm leaving it up the GM if they want to enable these player slots depending on their discretion or game health.\n\nThis decision annexes the Dutch Exiles into the Batavian Republic while giving away their Indonesian holdings. This is intended for Europe-focused Rosters;x
EVTNAME50399;Mount Fuji Erupts!;x
EVTDESC50399;News has reached Europe that the long-dormant Mount Fuji in Japan has erupted in a catastrophic manner. The eruption, unprecedented in scale, has led to widespread devastation across the region. The massive pyroclastic flows, ash clouds, and ensuing earthquakes have caused the complete collapse of Japanese society. This event has sent shockwaves across the globe, with European powers now eyeing the opportunity to expand their influence into the Far East. However, the region remains perilous, with the risk of further volcanic activity and the widespread suffering of the Japanese people posing significant challenges.;x
ngf_scandi_title;Get North German Accepted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ngf_scandi_desc;Some moons ago, the international terrorist known as 'rustypowers10' decreed that Scandinavia getting North German in a niche meme path no one did anyway was too strong, and thus created the Pomeranian and North German split. The GM has decided to right this wrong!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
